date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:47	925/925	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Aug%202012%2002:12:40%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/dislike.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/dislike.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:47	889/889	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202013%2019:12:16%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/quote_top.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/quote_top.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:47	890/890	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202013%2017:29:37%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/quote_bottom.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/quote_bottom.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:47	1858/1858	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202013%2023:10:42%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/titulo_azul.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/titulo_azul.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:47	1877/1877	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202013%2020:37:51%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/titulo_laranja.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/titulo_laranja.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:48	3858/3858	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202013%2017:13:19%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/tabela_grande_topo2.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/tabela_grande_topo2.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:48	2837/2837	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202013%2019:41:34%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/tabela_grande_background.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/tabela_grande_background.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:48	3029/3029	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202013%2016:44:31%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/tabela_grande_rodape.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/tabela_grande_rodape.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:48	423/423	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Aug%202013%2023:22:09%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/tabela_full_topo.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/tabela_full_topo.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:49	4034/4034	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Sep%202013%2004:25:07%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/tabela_full_topo3.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/tabela_full_topo3.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
